plant_id,scientific_name_key,native_state
PLANT-00001,abies balsamea,Connecticut
PLANT-00001,abies balsamea,Iowa
PLANT-00001,abies balsamea,Maine
PLANT-00001,abies balsamea,Massachusetts
PLANT-00001,abies balsamea,Michigan
PLANT-00001,abies balsamea,Minnesota
PLANT-00001,abies balsamea,New Hampshire
PLANT-00001,abies balsamea,New Jersey
PLANT-00001,abies balsamea,New York
PLANT-00001,abies balsamea,Pennsylvania
PLANT-00001,abies balsamea,Vermont
PLANT-00001,abies balsamea,Virginia
PLANT-00001,abies balsamea,West Virginia
PLANT-00001,abies balsamea,Wisconsin
PLANT-00002,abies concolor,Arizona
PLANT-00002,abies concolor,California
PLANT-00002,abies concolor,Colorado
PLANT-00002,abies concolor,Idaho
PLANT-00002,abies concolor,Nevada
PLANT-00002,abies concolor,Oregon
PLANT-00002,abies concolor,Utah
PLANT-00002,abies concolor,Wyoming
PLANT-00003,abies fraseri,Georgia
PLANT-00003,abies fraseri,Minnesota
PLANT-00003,abies fraseri,North Carolina
PLANT-00003,abies fraseri,Tennessee
PLANT-00003,abies fraseri,Virginia
PLANT-00004,abies grandis,California
PLANT-00004,abies grandis,Idaho
PLANT-00004,abies grandis,Montana
PLANT-00004,abies grandis,Oregon
PLANT-00004,abies grandis,Washington
PLANT-00005,acacia koa,Hawaii
PLANT-00006,acalypha wilkesiana,Hawaii
PLANT-00007,acer macrophyllum,California
PLANT-00007,acer macrophyllum,Oregon
PLANT-00007,acer macrophyllum,Washington
PLANT-00008,acer negundo,Alabama
PLANT-00008,acer negundo,Arkansas
PLANT-00008,acer negundo,Colorado
PLANT-00008,acer negundo,Connecticut
PLANT-00008,acer negundo,Delaware
PLANT-00008,acer negundo,Florida
PLANT-00008,acer negundo,Georgia
PLANT-00008,acer negundo,Illinois
PLANT-00008,acer negundo,Indiana
PLANT-00008,acer negundo,Iowa
PLANT-00008,acer negundo,Kansas
PLANT-00008,acer negundo,Kentucky
PLANT-00008,acer negundo,Louisiana
PLANT-00008,acer negundo,Maine
PLANT-00008,acer negundo,Maryland
PLANT-00008,acer negundo,Massachusetts
PLANT-00008,acer negundo,Michigan
PLANT-00008,acer negundo,Minnesota
PLANT-00008,acer negundo,Mississippi
PLANT-00008,acer negundo,Missouri
PLANT-00008,acer negundo,Nebraska
PLANT-00008,acer negundo,New Hampshire
PLANT-00008,acer negundo,New Jersey
PLANT-00008,acer negundo,New York
PLANT-00008,acer negundo,North Carolina
PLANT-00008,acer negundo,North Dakota
PLANT-00008,acer negundo,Ohio
PLANT-00008,acer negundo,Oklahoma
PLANT-00008,acer negundo,Oregon
PLANT-00008,acer negundo,Pennsylvania
PLANT-00008,acer negundo,Rhode Island
PLANT-00008,acer negundo,South Carolina
PLANT-00008,acer negundo,South Dakota
PLANT-00008,acer negundo,Tennessee
PLANT-00008,acer negundo,Texas
PLANT-00008,acer negundo,Utah
PLANT-00008,acer negundo,Vermont
PLANT-00008,acer negundo,Virginia
PLANT-00008,acer negundo,Washington
PLANT-00008,acer negundo,West Virginia
PLANT-00008,acer negundo,Wisconsin
PLANT-00009,acer pensylvanicum,Connecticut
PLANT-00009,acer pensylvanicum,Georgia
PLANT-00009,acer pensylvanicum,Indiana
PLANT-00009,acer pensylvanicum,Kentucky
PLANT-00009,acer pensylvanicum,Maine
PLANT-00009,acer pensylvanicum,Maryland
PLANT-00009,acer pensylvanicum,Massachusetts
PLANT-00009,acer pensylvanicum,Michigan
PLANT-00009,acer pensylvanicum,Minnesota
PLANT-00009,acer pensylvanicum,New Hampshire
PLANT-00009,acer pensylvanicum,New Jersey
PLANT-00009,acer pensylvanicum,New York
PLANT-00009,acer pensylvanicum,North Carolina
PLANT-00009,acer pensylvanicum,Ohio
PLANT-00009,acer pensylvanicum,Pennsylvania
PLANT-00009,acer pensylvanicum,Rhode Island
PLANT-00009,acer pensylvanicum,South Carolina
PLANT-00009,acer pensylvanicum,Tennessee
PLANT-00009,acer pensylvanicum,Vermont
PLANT-00009,acer pensylvanicum,Virginia
PLANT-00009,acer pensylvanicum,West Virginia
PLANT-00009,acer pensylvanicum,Wisconsin
PLANT-00010,acer rubrum,Alabama
PLANT-00010,acer rubrum,Arkansas
PLANT-00010,acer rubrum,Connecticut
PLANT-00010,acer rubrum,Delaware
PLANT-00010,acer rubrum,Florida
PLANT-00010,acer rubrum,Georgia
PLANT-00010,acer rubrum,Illinois
PLANT-00010,acer rubrum,Indiana
PLANT-00010,acer rubrum,Iowa
PLANT-00010,acer rubrum,Kentucky
PLANT-00010,acer rubrum,Louisiana
PLANT-00010,acer rubrum,Maine
PLANT-00010,acer rubrum,Maryland
PLANT-00010,acer rubrum,Massachusetts
PLANT-00010,acer rubrum,Michigan
PLANT-00010,acer rubrum,Minnesota
PLANT-00010,acer rubrum,Mississippi
PLANT-00010,acer rubrum,Missouri
PLANT-00010,acer rubrum,New Hampshire
PLANT-00010,acer rubrum,New Jersey
PLANT-00010,acer rubrum,New York
PLANT-00010,acer rubrum,North Carolina
PLANT-00010,acer rubrum,Ohio
PLANT-00010,acer rubrum,Oklahoma
PLANT-00010,acer rubrum,Pennsylvania
PLANT-00010,acer rubrum,Rhode Island
PLANT-00010,acer rubrum,South Carolina
PLANT-00010,acer rubrum,Tennessee
PLANT-00010,acer rubrum,Texas
PLANT-00010,acer rubrum,Vermont
PLANT-00010,acer rubrum,Virginia
PLANT-00010,acer rubrum,West Virginia
PLANT-00010,acer rubrum,Wisconsin
PLANT-00011,acer saccharinum,Alabama
PLANT-00011,acer saccharinum,Arkansas
PLANT-00011,acer saccharinum,California
PLANT-00011,acer saccharinum,Connecticut
PLANT-00011,acer saccharinum,Delaware
PLANT-00011,acer saccharinum,Florida
PLANT-00011,acer saccharinum,Georgia
PLANT-00011,acer saccharinum,Illinois
PLANT-00011,acer saccharinum,Indiana
PLANT-00011,acer saccharinum,Iowa
PLANT-00011,acer saccharinum,Kansas
PLANT-00011,acer saccharinum,Kentucky
PLANT-00011,acer saccharinum,Louisiana
PLANT-00011,acer saccharinum,Maine
PLANT-00011,acer saccharinum,Maryland
PLANT-00011,acer saccharinum,Massachusetts
PLANT-00011,acer saccharinum,Michigan
PLANT-00011,acer saccharinum,Minnesota
PLANT-00011,acer saccharinum,Mississippi
PLANT-00011,acer saccharinum,Missouri
PLANT-00011,acer saccharinum,Nebraska
PLANT-00011,acer saccharinum,New Hampshire
PLANT-00011,acer saccharinum,New Jersey
PLANT-00011,acer saccharinum,New Mexico
PLANT-00011,acer saccharinum,New York
PLANT-00011,acer saccharinum,North Carolina
PLANT-00011,acer saccharinum,North Dakota
PLANT-00011,acer saccharinum,Ohio
PLANT-00011,acer saccharinum,Oklahoma
PLANT-00011,acer saccharinum,Pennsylvania
PLANT-00011,acer saccharinum,Rhode Island
PLANT-00011,acer saccharinum,South Carolina
PLANT-00011,acer saccharinum,South Dakota
PLANT-00011,acer saccharinum,Tennessee
PLANT-00011,acer saccharinum,Vermont
PLANT-00011,acer saccharinum,Virginia
PLANT-00011,acer saccharinum,Washington
PLANT-00011,acer saccharinum,West Virginia
PLANT-00011,acer saccharinum,Wisconsin
PLANT-00012,acer saccharum,Alabama
PLANT-00012,acer saccharum,Arkansas
PLANT-00012,acer saccharum,Connecticut
PLANT-00012,acer saccharum,Delaware
PLANT-00012,acer saccharum,Georgia
PLANT-00012,acer saccharum,Illinois
PLANT-00012,acer saccharum,Indiana
PLANT-00012,acer saccharum,Iowa
PLANT-00012,acer saccharum,Kansas
PLANT-00012,acer saccharum,Kentucky
PLANT-00012,acer saccharum,Louisiana
PLANT-00012,acer saccharum,Maine
PLANT-00012,acer saccharum,Maryland
PLANT-00012,acer saccharum,Massachusetts
PLANT-00012,acer saccharum,Michigan
PLANT-00012,acer saccharum,Minnesota
PLANT-00012,acer saccharum,Mississippi
PLANT-00012,acer saccharum,Missouri
PLANT-00012,acer saccharum,New Hampshire
PLANT-00012,acer saccharum,New Jersey
PLANT-00012,acer saccharum,New York
PLANT-00012,acer saccharum,North Carolina
PLANT-00012,acer saccharum,North Dakota
PLANT-00012,acer saccharum,Ohio
PLANT-00012,acer saccharum,Oklahoma
PLANT-00012,acer saccharum,Pennsylvania
PLANT-00012,acer saccharum,Rhode Island
PLANT-00012,acer saccharum,South Dakota
PLANT-00012,acer saccharum,Tennessee
PLANT-00012,acer saccharum,Vermont
PLANT-00012,acer saccharum,Virginia
PLANT-00012,acer saccharum,West Virginia
PLANT-00012,acer saccharum,Wisconsin
PLANT-00013,acer saccharum subsp. grandidentatum,Arizona
PLANT-00013,acer saccharum subsp. grandidentatum,Colorado
PLANT-00013,acer saccharum subsp. grandidentatum,Idaho
PLANT-00013,acer saccharum subsp. grandidentatum,Montana
PLANT-00013,acer saccharum subsp. grandidentatum,Nevada
PLANT-00013,acer saccharum subsp. grandidentatum,New Mexico
PLANT-00013,acer saccharum subsp. grandidentatum,Texas
PLANT-00013,acer saccharum subsp. grandidentatum,Utah
