plant_id,scientific_name,common_name,display_name,plant_family,image_url,image_source,native_states,growth_habit,plant_type,zone_min,zone_max,maintenance,soil_description,soil_moisture,soil_ph,supports_full_sun,supports_part_shade,supports_shade,supports_low_water,supports_medium_water,supports_high_water,bloom_color,bloom_jan,bloom_feb,bloom_mar,bloom_apr,bloom_may,bloom_jun,bloom_jul,bloom_aug,bloom_sep,bloom_oct,bloom_nov,bloom_dec,supports_bee_observed,supports_butterfly_observed,supports_hummingbird_observed,supports_moth_observed,supports_fly_observed,supports_beetle_observed,supports_wasp_observed,has_ladybird_data,has_pollinator_data
PLANT-00001,Abies balsamea,"Balsam Fir, Blister Pine, Northern Balsam","Balsam Fir, Blister Pine, Northern Balsam",Pinaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/9906794/medium.jpg,iNaturalist,Connecticut | Iowa | Maine | Massachusetts | Michigan | Minnesota | New Hampshire | New Jersey | New York | Pennsylvania | Vermont | Virginia | West Virginia | Wisconsin,Tree,Needled evergreen,3,6,Medium,"Well-drained, acid, moist soils.",Moist,Acidic (pH<6.8),TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Yellow , Green , Purple , Brown",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00002,Abies concolor,"White Fir, Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, Oyamel De California","White Fir, Balsam Fir, Colorado Fir, Concolor Fir, Silver Fir, White Balsam, Oyamel De California",Pinaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/56287604/medium.jpg,iNaturalist,Arizona | California | Colorado | Idaho | Nevada | Oregon | Utah | Wyoming,Tree,Needled evergreen,3,7,Medium,"Well-drained, gravelly or sandy-loam soils.",,,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Red,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00003,Abies fraseri,"Fraser Fir, She-balsam","Fraser Fir, She-balsam",Pinaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/2043904/medium.jpg,iNaturalist,Georgia | Minnesota | North Carolina | Tennessee | Virginia,Tree,Needled evergreen,4,7,Medium,,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,Purple,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00004,Abies grandis,"Grand Fir, Giant Fir","Grand Fir, Giant Fir",Pinaceae,https://inaturalist-open-data.s3.amazonaws.com/photos/56287604/medium.jpg,iNaturalist,California | Idaho | Montana | Oregon | Washington,Tree,Needled evergreen,5,6,Medium,Well-drained soils.,"Dry , Moist",,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,"White , Green",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00005,Acacia koa,koa,koa,,https://static.inaturalist.org/photos/98778970/medium.jpg,iNaturalist,Hawaii,,Tree,10,11,Medium,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLANT-00006,Acalypha wilkesiana,Jacob's coat,Jacob's coat,,https://static.inaturalist.org/photos/346178667/medium.jpg,iNaturalist,Hawaii,,Broadleaf evergreen,10,11,Low,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLANT-00007,Acer macrophyllum,"Bigleaf Maple, Big-leaf Maple","Bigleaf Maple, Big-leaf Maple",Aceraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/494655644/medium.jpg,iNaturalist,California | Oregon | Washington,Tree,Tree,6,7,Low,"Cool, moist soils.","Dry , Moist",,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"Yellow , Green , Brown",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00008,Acer negundo,"Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco","Box Elder, Box Elder Maple, Ash-leaved Maple, Ashleaf Maple, Red River Maple, Fresno De Guajuco",Aceraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/486113480/medium.jpg,iNaturalist,Alabama | Arkansas | Colorado | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Nebraska | New Hampshire | New Jersey | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin,Tree,Tree,2,10,Low,Variable.,Moist,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Yellow , Green , Brown",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00009,Acer pensylvanicum,"Striped Maple, Moosewood","Striped Maple, Moosewood",Aceraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/8048591/medium.jpg,iNaturalist,Connecticut | Georgia | Indiana | Kentucky | Maine | Maryland | Massachusetts | Michigan | Minnesota | New Hampshire | New Jersey | New York | North Carolina | Ohio | Pennsylvania | Rhode Island | South Carolina | Tennessee | Vermont | Virginia | West Virginia | Wisconsin,Tree,Tree,3,7,Low,"Cool, well-drained, moist, acidic soils.",Moist,Acidic (pH<6.8),FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,"Yellow , Green , Brown",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
PLANT-00010,Acer rubrum,"Red Maple, Scarlet Maple, Soft Maple","Red Maple, Scarlet Maple, Soft Maple",Aceraceae,https://inaturalist-open-data.s3.amazonaws.com/photos/371065093/medium.jpg,iNaturalist,Alabama | Arkansas | Connecticut | Delaware | Florida | Georgia | Illinois | Indiana | Iowa | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | New Hampshire | New Jersey | New York | North Carolina | Ohio | Oklahoma | Pennsylvania | Rhode Island | South Carolina | Tennessee | Texas | Vermont | Virginia | West Virginia | Wisconsin,Tree,Tree,3,9,Low,"Moist, slightly acidic soils.",Moist,"Acidic (pH<6.8) , Circumneutral (pH 6.8-7.2)",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"Red , Yellow",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
