original,fix
May to June,May-June
Non-flowering,Non-flowering
July to August,July-August
Apr–May,April-May
"May , Jun , Jul",May-July
June to July,June-July
May–Jun,May-June
"Jun , Jul , Aug , Sep , Oct",June-October
April to May,April-May
Jan–Feb,January-February
April to June,April-June
Mar–Apr,March-April
March to April,March-April
 April to July,April-July
Jun–Aug,June-Augst
NA,NA
"Mar , Apr , May , Jun , Jul",March-July
August to October,August-October
June to June,June
July to September,July-September
May to May,May
Jun–Jul,June-July
February to March,February-March
May to July,May-July
"Jun , Jul",June-July
"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct",March-October
August to September,August-September
June to August,June-August
May–Jul,May-July
"Jun , Jul , Aug",June-August
"Apr , May , Jun , Jul , Aug , Sep , Oct",April-October
"May , Jun , Jul , Aug , Sep , Oct",May-October
June to September,June-September
"Apr , May , Jun",April-June
April to April,April
July to October,July-October
May to August,May-August
July to July,July
"Apr , May , Jun , Jul",April-July
Indeterminate,Indeterminate
March to March,March
"Jun , Jul , Aug , Sep",June-September
Mar–Jun,March-June
Apr,April
"Mar , Apr",March-April
June to October,June-October
May–Oct,May-October
"Apr , May",April-May
"Apr , May , Jun , Jul , Aug , Sep",April-September
June to To frost,June-Frost
"Apr , May , Jun , Jul , Aug",April-August
"May , Jun , Jul , Aug",May-August
"May , Jun , Jul , Aug , Sep",May-September
Mar–Jul,March-July
Feb–Apr,February-April
"Mar , Apr , May",March-May
Jul–Sep,July-September
October to October,October
"Aug , Sep , Oct , Nov",August-Novermber
May to September,May-September
"Jan , Feb , Mar , Apr , May , Jun , Jul , Dec",December-July
February to February,February
October to December,October-December
"Sep , Oct , Nov",September-November
"Mar , Apr , May , Jun",March-June
Jul–Aug,July-August
"Mar , Apr , May , Jun , Jul , Aug , Sep",March-September
"Jan , Feb , Mar , Dec",December-March
"Feb , Mar , Apr , May , Jun , Jul",February-July
"Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",January-December
September to October,September-October
"Mar , Apr , May , Jun , Jul , Aug",March-August
February to April,February-April
"Jan , Feb , Mar , Apr , May , Nov , Dec",November-May
April to August,April-August
Apr–Jun,April-June
March to May,March-May
"Jul , Aug , Sep , Oct , Nov",July-November
Jul,July
"Jan , Feb , Mar , Apr , May , Jun , Jul",January-July
"Feb , Mar , Apr , May",February-May
Mar–Dec,March-December
"May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",May-December
Jun,June
Apr–Aug,April-August
"Jun , Jul , Aug , Sep , Oct , Nov",June-November
"May , Jun",May-June
May to October,May-October
"May , Jun , Jul , Aug , Sep , Oct , Nov",May-November
Rarely flowers to Rarely flowers,Rarely Flowers
"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",March-November
"Feb , Mar , Apr , May , Jun",February-June
September to February,September-February
July to February,July-February
"Jul , Aug , Sep , Oct",July-October
"Feb , Mar , Apr , May , Jun , Jul , Aug , Sep",February-September
"Jan , Feb , Dec",December-February
"Feb , Mar , Apr , May , Jun , Jul , Aug",February-August
"Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov , Dec",March-November
September to November,September-November
"Jan , Feb , Mar , Apr",January-April
"Jan , Feb , Mar , Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",January-November
May,May
"Jan , Oct , Nov , Dec",October-January
"Jul , Aug",July-August
September to To frost,September-Frost
"Mar , Apr , May , Aug , Sep","March-May,August-September"
"Aug , Sep",August-September
April to October,April-October
"Jan , Feb , Mar , Apr , May , Jun",January-June
"Feb , Mar , Apr",February-April
"Apr , May , Jun , Jul , Aug , Sep , Oct , Nov",April-November
April to September,April-September
August to November,August-November
"Jan , Feb , Mar , Apr , May , Dec",December-May
Dec–Feb,December-February
August to February,August-February
Sep–Nov,September-November
