Height..ft.,fix
15–30,15–30
12–35,12–35
60,60
48,48
4–9,4–9
30–40,30–40
Up to about 32 inches tall.,2.67
100,100
40–80,40–80
3,3
65,65
12,12
"Stems twining and climbing, up to about 10 feet long, sometimes longer.",10
1,1
50–90,50–90
120,120
0.6–1.5,0.6–1.5
0.3–1,0.3–1
85,85
80,80
50,50
80–180,80–180
4–6,4–6
1.5–2,1.5–2
NA,NA
Climbing stems up to about 10 feet long.,10
10–20,10–20
60–80,60–80
3–9,3–9
Up to about 6 feet tall.,6
16,16
130,130
30–45,30–45
Flower,NA
10–75,10–75
20–50,20–50
0.5,0.5
1–2,1–2
Up to about 16 inches tall.,1.33
Up to about 2 feet tall.,2
Fronds up to about 30 inches long.,2.5
Fronds up to about 4 feet long.,2.5
1.3,1.3
Up to about 3 feet tall.,3
5,5
8,8
Up to about 4 feet tall.,4
1–3,1–3
2–3,2–3
2–4,2–4
3–6,3–6
3.3,3.3
6,6
Fronds up to about 16 inches long.,0.83
70,70
3–5,3–5
6–25,6–25
"Up to about 130 feet tall, spread up to about 60 feet.",130
2,2
6–20,6–20
2–5,2–5
1.5–5,1.5–5
1–1.5,1–1.5
30–50,30–50
Submersed stems up to about 30 inches long.,2.5
10,10
3–10,3–10
50–100,50–100
105,105
4–5,4–5
0.5–0.8,0.5–0.8
1.5,1.5
2–8,2–8
1.5–3.5,1.5–3.5
2–3.5,2–3.5
2–10,2–10
3–7,3–7
4,4
Climbing stems up to about 13 feet long.,13
1.5–4,1.5–4
0.5–1,0.5–1
35,35
Up to about 180 feet tall.,180
Up to about 75 feet tall.,75
150,150
0.5–2.5,0.5–2.5
4.5,4.5
Up to about 250 feet tall.,250
1–2.5,1–2.5
25,25
0.5–2,0.5–2
"Up to about 40 feet tall, usually much shorter.",40
Up to about 12 feet tall.,12
10–50,10–50
Up to about 200 feet tall.,200
Up to about 30 inches tall.,2.5
"Up to about 12 feet tall, often shorter.",12
8-10 inches tall.,0.67–0.83
6.5,6.5
"Normally 1.5 to 2 feet, occasionally 3 feet tall.",1.5–2
"Normally about 20 inches tall, but can reach 3 feet",1.67
0.3–0.5,0.3–0.5
0.2–0.5,0.2–0.5
0.8,0.8
1.5–3,1.5–3
Up to about 1 foot tall.,1
Fronds up to about 10 inches long.,0.33-0.66
2.5–5,2.5–5
Up to about 6 inches tall.,0.5
"Up to about 9 feet tall in optimal conditions, often much shorter.",9
Up to about 10 inches tall.,0.83
Flower scapes up to about 10 inches tall.,0.83
5.5,5.5
0.3–0.6,0.3–0.6
0.4–0.7,0.4–0.7
Up to about 14 inches tall.,1.17
Up to about 8 inches tall.,0.67
Up to about 20 inches tall.,1.67
Up to about 10 feet tall.,10
6–10,6–10
Up to about 18 inches tall.,1.5
Up to about 2 feet tall. Fronds up to about 4 feet long.,2
"Stems twining, up to about 15 feet long.",15
1–4,1–4
"Usually up to about 3 feet tall, but can reach 5 feet.",3
7,7
"Usually 2 feet tall, but occasionally exceeds 3 feet.",2
0.5–1.5,0.5–1.5
5–10,5–10
1–5,1–5
115,115
Up to about 150 feet tall.,150
50–95,50–95
30,30
5–20,5–20
15,15
8–20,8–20
10–25,10–25
10–30,10–30
15–40,15–40
"Height 50-100 feet, spread to 50 feet.",50–100
68,68
23,23
0.7–1,0.7–1
12–15,12–15
6–15,6–15
4–7,4–7
50–75,50–75
4–10,4–10
90,90
65–75,65–75
12–20,12–20
25–50,25–50
30–60,30–60
190,190
50–110,50–110
"Up to about 20 feet tall, usually much shorter.",20
6–40,6–40
10–40,10–40
6–12,6–12
"Up to about 10 feet tall, often shorter.",10
"Up to about 3 feet tall, often shorter.",3
10–15,10–15
8–16,8–16
300,300
40,40
40–100,40–100
65–100,65–100
"Up to about 1 foot tall, stems ascending.",1
Up to about 20 feet tall.,20
Up to about 6 feet tall without flower stalk.,6
Up to about 85 feet tall.,85
Many specimens top 150 ft. One specimen tops 258 ft. in height.,150
Up to about 15 feet tall.,15
Up to about 5 feet tall when flowering.,5
"Up to about 65 feet tall, often much shorter.",65
To about 16 inches in height.,1.33
2–6,2–6
2.5–3.5,2.5–3.5
6–7,6–7
1.5–2.5,1.5–2.5
24,24
Up to about 8 feet tall.,8
Up to about 300 feet tall. Sometimes taller.,300
"Height 30-100 feet, spread 30-50 feet or more, diameter 2 to 4 ft.",30–100
"Up to about 40 feet tall, often much shorter.",40
Height to 100 feet.,100
Most often 20-45 feet tall. May be up to about 150 feet tall.,20–45
"Height 6-15 feet, spread 4-6 feet.",6–15
0.3,0.3
12 to 30 inches high,1–2.5
0.2–0.7,0.2–0.7
Normally 12 to 18 inches high,1–1.5
Rhizomatous stems up to about 20 inches long. Flowering stems up to about 8 inches tall.,0.67
Up to about 16 inches tall when flowering.,1.33
Fronds up to about 40 inches long.,3
"Up to about 28 inches tall, often shorter.",2.33
"Up to about 8 feet tall, often shorter.",8
"Usually 5 to 6 inches high, but can reach 16 inches.",0.42–1.33
0.2–0.4,0.2–0.4
Flower stems up to about 32 inches tall.,2.67
Up to about 6 inches tall when flowering.,0.5
Up to about 5 feet tall.,5
Up to about 1 foot tall when flowering.,1
28,28
2.5,2.5
"Normally 1 to 2 feet tall, but can exceed 5 feet.",1–2
18,18
55,55
2.5–3,2.5–3
"Up to about 5 feet tall, often shorter.",5
13,13
75,75
60–90,60–90
3–4,3–4
"Up to about 4 feet tall, often shorter.",4
Up to about 50 feet tall.,50
"Up to about 100 feet tall, often shorter.",100
Up to about 250 feet tall. Often much shorter.,250
"Height 4-15 feet, spread 6-8 feet.",4–15
"Up to about 60 feet tall, often much shorter.",60
Up to about 200 feet tall. Often much shorter.,200
Up to about 90 feet tall.,90
Up tp 4 feet 9 inches high; joints are broadly,4.75
Up to more than 200 feet tall.,200
"Height 25-30 feet, can reach 40 ft or larger, spread 25-35 feet. Multiple stems.",25–30
Up to about 7 feet tall.,7
Up to about 10 inches tall in bloom. Foliage up to about 2 inches high.,0.83
Up to about 28 inches tall.,2.33
110,110
"Generally 1 1/2-3 ft, but can reach 6 ft (1.8 m) under favorable conditions.",1.5–6
0.3–0.8,0.3–0.8
15–35,15–35
2.3,2.3
"Up to about 30 feet tall, often much shorter.",30
Up to about 40 feet tall.,40
15–70,15–70
Fronds up to about 2 feet long.,1-1.5
20–35,20–35
5–12,5–12
5–7,5–7
1.7,1.7
Leaves up to about 4 feet long.,4
From 60 to 200 feet tall. Trunk 2-1/2 to 4 feet in diameter.,60–200
25–45,25–45
Up to about 150 feet tall. Some varieties much shorter.,150
45,45
"Height 20-40 feet, spread 20-30 feet.",20–40
Up to about 45 feet tall. Trunk to about 3 feet in diameter.,45
"Up to about 25 feet tall, often much shorter.",25
9 inches to 2 feet high,0.75–2
7–30,7–30
Twining stems up to about 80 feet long.,80
1–3.5,1–3.5
Grows up to 4 feet in height.,4
"Up to about 65 feet tall, with a rounded or pyramidal shape. The trunk is short and the lower branches often wide spreading.",65
Up to about 4-1/2 feet tall.,4.5
"Stems climbing, up to about 20 feet long.",20
Up to about 30 feet tall.,30
Up to about 150 feet tall. Trunk to about 5 feet in diameter.,150
4 to 9 inches high,0.33–0.75
"To about 3 feet in height, though much of this emersed plant may be submerged.",3
"Aquatic, floating stems up to about 12 feet long.",NA
Up to about 30 inches tall when flowering.,2.5
Usually up to about 75 feet tall. Can be much taller.,75
Normally 2-3 ft but can reach 5 ft,2-5
"Height 15-40 feet, spread 30-60 feet.",15-40
5–25,5-25
Fronds up to about 8 feet long.,4-8
