AcceptedName,USDAcode,PropagationDescription.L,Propogation Description 2
Aristolochia macrophylla,ARMA7,"Increase by layering, division, July cuttings, or by seed sown outdoor in fall.","Increase by layering, division, July cuttings, or by seed sown outdoor in fall."
Chionanthus virginicus,CHVI3,NA,NA
Abies balsamea,ABBA,"Abies spp. are best propagated by means of seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields.","Abies spp. are best propagated by means of seeds sown in early spring. In nature, Abies seeds often germinate on melting snow fields."
Celastrus scandens,CESC,"Sow seeds in fall or stratify and sow in spring. Bittersweet can also be propagated by root cuttings, layers, suckers, hardwood and softwood cuttings. Treatment of cuttings is not necessary, but it may hasten rooting.","Sow seeds in fall or stratify and sow in spring. Bittersweet can also be propagated by root cuttings, layers, suckers, hardwood and softwood cuttings. Treatment of cuttings is not necessary, but it may hasten rooting."
Clethra alnifolia,CLAL3,"Propagate by seed or softwood cuttings, with or without hormone treatment, under mist. Sow seed on sand.","Propagate by seed or softwood cuttings, with or without hormone treatment, under mist. Sow seed on sand."
Halesia tetraptera,HATE3,"Seeds require a period of after-ripening followed by cold, moist stratification. Seeds may take two years to sprout. Layering, root cuttings and softwood cuttings will root. Rooted cuttings should not be transplanted until growth flushes the following","Seeds require a period of after-ripening followed by cold, moist stratification. Seeds may take two years to sprout. Layering, root cuttings and softwood cuttings will root. Rooted cuttings should not be transplanted until growth flushes the following"
Hordeum jubatum,HOJU,NA,NA
Gymnocladus dioicus,GYDI,Reproduce with root cuttings or scarified seed.,Reproduce with root cuttings or scarified seed.
Catalpa speciosa,CASP8,Very easy to grow from seeds and transplant. Seeds require no pretreatment. Catalpa will root from semi-hardwood cuttings taken in late summer or root cuttings taken in late fall.,Very easy to grow from seeds and transplant. Seeds require no pretreatment. Catalpa will root from semi-hardwood cuttings taken in late summer or root cuttings taken in late fall.
Galium boreale,GABO2,Propagated by,"Propagated by rhizome cuttings in spring or by division of mature plants. Seed germination is good, especially in greenhouse sowings. Seeds sown in the field are often destroyed by insects."
Populus grandidentata,POGR4,"Fresh seed germinates readily when placed on a saturated seed bed. Aspens, however, are best established from root cuttings set directly into their permanent locations. Trees can also be started from small sprouts lifted in the dormant season from distu","Fresh seed germinates readily when placed on a saturated seed bed. Aspens, however, are best established from root cuttings set directly into their permanent locations. Trees can also be started from small sprouts lifted in the dormant season from distu"
Prunus maritima,PRMA2,"Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification. Some species need a period of after","Prunus species may be rooted from dormant hardwood, softwood, semi-hardwood, or root cuttings. Semi-hardwood and softwood cuttings taken in summer root easiest. Germination of most seeds requires cold stratification. Some species need a period of after"
Ipomoea alba,IPAL,NA,NA
Primula meadia,DOME,NA,"Best propagated by division. Dig mature crowns in the fall, when dormant, then divide and replant. Very fine seed germinates, but seedlings grow very slowly. Sow immediately or stratify over winter."
Magnolia grandiflora,MAGR4,"Propagation methods include the use of fresh seed sown in fall, stratified seed, or wounded, semi-hardwood cuttings taken in summer. The seed of","Propagation methods include the use of fresh seed sown in fall, stratified seed, or wounded, semi-hardwood cuttings taken in summer. The seed of evergreen magnolias seems to germinate more quickly than that of the deciduous varieties."
Pinus palustris,PIPA2,"Sow fresh, untreated seed in late fall.","Sow fresh, untreated seed in late fall."
Trillium grandiflorum,TRGR4,"Seeds do best when planted outdoors soon after fruits have ripened. Sow 1/2"" deep. Flowers the fourth or fifth year.","Seeds do best when planted outdoors soon after fruits have ripened. Sow 1/2"" deep. Flowers the fourth or fifth year. Rhizome division and rhizome wounding are methods of increasing existing plants. For the latter, remove the soil to expose the rhizome"
