scientific_name_key
acacia koa
acalypha wilkesiana
acer saccharum subsp. grandidentatum
acer saccharum subsp. nigrum
acoelorrhaphe wrightii
acorus calamus
aesculus parviflora var. serotina
agave havardiana
alnus incana subsp. rugosa
amelanchier obovalis
amorpha ouachitensis
amsonia ciliata var. filifolia
amsonia tabernaemontana var. salicifolia
anemone americana
antennaria dioica
aquilegia caerulea
aquilegia chrysantha var. hinckleyana
aronia melanocarpa var. elata
artemisia vulgaris
asarum shuttleworthii
asplenium ã— ebenoides
athyrium asplenioides
athyrium filix-femina var. angustum
athyrium thelypterioides
baptisia perfoliata
berberis aquifolium
berberis dictyota
berlandiera texana
buchloe dactyloides
bursera simaruba
calamovilfa arcuata
campanula americana
campanula kemulariae
campsis radicans f. flava
capparis sandwichiana
carex crus-corvi
carex flacca
carex leporina
carex tumulicola
carpinus betulus
carya ã— laneyi
castanea ozarkensis
chamaedorea seifrizii
chelone obliqua var. speciosa
cibotium glaucum
clematis scottii
clematis versicolor
conradina verticillata
cornus amomum subsp. obliqua
cornus florida f. rubra
cornus mas
cosmos bipinnatus
croton alabamensis
cystopteris protrusa
dalea gattingeri
datura inoxia
delphinium treleasei
drosera filiformis var. filiformis
dryopteris australis
dryopteris goldiana
dryopteris wallichiana
duranta erecta
eichhornia crassipes
epimedium pubigerum
erianthus alopecuroides
erysimum capitatum
eubotrys racemosa
eurybia furcata
eurybia paludosa
fraxinus ornus
gaura lindheimeri
geranium maculatum f. albiflorum
guaiacum sanctum
halesia monticola
heimia salicifolia
helenium virginicum
helianthus silphioides
heterotheca camporum
heuchera parviflora var. puberula
hibiscus moscheutos subsp. palustris
hibiscus striatus subsp. lambertianus
hibiscus tiliaceus
hydrangea barbara
hymenocallis caroliniana
hypericum buckleyi
hypericum lissophloeus
hypericum pyramidatum
iliamna remota
imperata cylindrica
ionactis linariifolia
iresine rhizomatosa
iris virginica var. shrevei
jatropha multifida
juniperus ashei
lachnocaulon anceps
liatris mucronata
liatris scariosa var. nieuwlandii
lobelia ã— speciosa
magnolia virginiana var. australis
malpighia coccigera
marshallia mohrii
matelea decipiens
matteuccia struthiopteris subsp. pensylvanica
melanthium virginicum
mespilus canescens
myrica pensylvanica
nymphoides indica
oenothera fruticosa subsp. glauca
onosmodium molle
onosmodium molle subsp. occidentale
osmundastrum cinnamomeum
pandanus tectorius
parthenium hispidum
penstemon cobaea var. purpureus
persicaria virginiana
petrea volubilis
philadelphus pubescens var. verrucosus
phlox divaricata subsp. laphamii
phlox pilosa subsp. ozarkana
physostegia angustifolia
platycodon grandiflorus
porteranthus trifoliatus
portulaca oleracea
potentilla fruticosa
prunella grandiflora
prunus padus
pycnanthemum pilosum
pycnanthemum setosum
quercus acerifolia
quercus myrtifolia
rhus copallinum var. latifolia
ribes odoratum
rudbeckia fulgida var. sullivantii
rudbeckia fulgida var. umbrosa
sabal etonia
salvia azurea var. grandiflora
salvia penstemonoides
salvia pratensis
sambucus canadensis
sapindus drummondii
sarracenia flava var. rubricorpora
sarracenia oreophila
sarracenia purpurea subsp. purpurea
sarracenia purpurea subsp. venosa
sarracenia rubra f. jonesii
sarracenia ã— catesbaei
senna obtusifolia
silphium gracile
silphium terebinthinaceum var. pinnatifidum
smilax hispida
solidago drummondii
solidago gattingeri
solidago ouachitensis
solidago ptarmicoides
solidago riddellii
solidago rigida
staphylea pinnata
swietenia mahagoni
taxodium distichum var. distichum
taxodium distichum var. imbricarium
taxus baccata
taxus floridana
terminalia catappa
tilia cordata
toona ciliata
toxicodendron diversilobum
tradescantia ernestiana
tradescantia longipes
tradescantia tharpii
tridens strictus
trillium viride
ulmus glabra
viburnum cassinoides
viola pubescens var. eriocarpa
vitex negundo
waldsteinia lobata
woodsia obtusa subsp. obtusa
xanthocyparis nootkatensis
zephyranthes simpsonii
zinnia elegans
