plant_species,plant_name_quality
"Lithophragma glabrum, L. parviflorum",multiple_plants
"Lomatium triternatum, L. ambiguum",multiple_plants
Cotoneaster,genus_only
Rhododendron,genus_only
Pieris,genus_only
Lavendula,genus_only
Myosotis,genus_only
Doronicum,genus_only
Ajuga,genus_only
Hypochaeris sp.,unspecified_species
Prunus sp.,unspecified_species
Erica,genus_only
Skimmia,genus_only
Erysimum,genus_only
Ribes garden sp.,unspecified_species
Arabis,genus_only
Iberis,genus_only
Primula,genus_only
Pulmonaria,genus_only
Clematis,genus_only
Anenome,genus_only
Euphorbia,genus_only
Rosmarinus,genus_only
Hyacinthoides,genus_only
Fragaria,genus_only
Wisteria,genus_only
Syringia,genus_only
Ilex,genus_only
Malus,genus_only
Muscari,genus_only
Viola,genus_only
Viburnum,genus_only
Vaccinium,genus_only
Berberis,genus_only
Vinca,genus_only
Lamium,genus_only
Aurinia,genus_only
Calendula,genus_only
Chaenomeles,genus_only
Rhodanthemum,genus_only
Borago,genus_only
Sorbus,genus_only
Armeria,genus_only
Saxifraga,genus_only
Cornus,genus_only
Lithodora,genus_only
Rubus garden sp.,unspecified_species
Ceanothus,genus_only
Laburnum,genus_only
Thymus,genus_only
Weigela,genus_only
Dicentra,genus_only
Aquilegia,genus_only
Nepeta,genus_only
Potentilla,genus_only
Salvia,genus_only
Phacelia,genus_only
Lilium,genus_only
Iris,genus_only
Enkianthus,genus_only
Crataegus,genus_only
Centaurea sp.,unspecified_species
Campanula,genus_only
Digitalis,genus_only
Dianthus,genus_only
Antirrhinum,genus_only
Tageta,genus_only
Nigella,genus_only
Aegopodium,genus_only
Spiraea,genus_only
Geum,genus_only
Scabiosa,genus_only
Lotus sp.,unspecified_species
Fremontodendron,genus_only
Oxalis,genus_only
Heuchera,genus_only
Aster,genus_only
Philadelphus,genus_only
Coreopsis,genus_only
Hemerocallis,genus_only
Cotinus,genus_only
Escallonia,genus_only
Euonymus,genus_only
Penstemon,genus_only
Hydrangea,genus_only
Hypericum,genus_only
Lavatera,genus_only
Achillea,genus_only
Ligustrum,genus_only
Nasturtium,genus_only
Bacopa,genus_only
Diascia,genus_only
Cosmos,genus_only
Limnanthes,genus_only
Pastinaca,genus_only
Senecio,genus_only
Sanguisorba,genus_only
Paeonia,genus_only
Pelargonium,genus_only
Phygelius,genus_only
Allium sp.,unspecified_species
Astrantia,genus_only
Cistus,genus_only
Rodgersia,genus_only
Lonicera,genus_only
Buddleja spp.,unspecified_species
Fuschia,genus_only
Knautia,genus_only
Verbena,genus_only
Sedum,genus_only
Abelia,genus_only
Lythrum,genus_only
Filipendula,genus_only
Lobelia,genus_only
Tradescanthia,genus_only
Rudbeckia,genus_only
Helianthus,genus_only
Sempervivum,genus_only
Gaillardia,genus_only
Cynara,genus_only
Nemesia,genus_only
Helichrysum,genus_only
Echinops,genus_only
Mentha,genus_only
Monarda,genus_only
Echinacea,genus_only
Astilbe,genus_only
Dahlia,genus_only
Eryngium,genus_only
Hibiscus,genus_only
Delosperma,genus_only
Gaura,genus_only
Helenium,genus_only
Heliotrope,genus_only
Crocosmia,genus_only
Phlox,genus_only
Cucurbita,genus_only
Symphytum sp.,unspecified_species
Ornithogalum sp.,unspecified_species
Sonchus sp.,unspecified_species
Salix sp.,unspecified_species
Cardamine sp.,unspecified_species
Polygonum sp.,unspecified_species
Alyssum,genus_only
Agoseris sp.,unspecified_species
Carduus sp.,unspecified_species
Symphoricarpos sp.,unspecified_species
