pollinator_family,observation_count
Bombylidae,762
Empididae,410
Muscoidea,304
Buprestidae,170
Adelidae,142
Bruchidae,113
Diptera,101
Sarcophagidae,89
Conopidae,80
Lygaeidae,69
Elateridae,68
Cimbicidae,55
Ichneumonidae,55
Coleoptera,52
Lepidoptera,46
Chrysididae,42
Symphyta,37
Scathophagidae,34
Hesperidae,26
Bibionidae,26
Hemiptera,24
Cleridae,22
Lonchaeidae,18
Formicidae,17
Wasp,17
Rhagionidae,16
Nemestrinidae,13
Cephidae,13
Miridae,11
Asilidae,9
Dermestidae,8
Lauxaniidae,7
Curculionidae,7
Tenthredinidae,7
Phalacridae,6
Acroceridae,6
,5
Pentatomidae,4
Stratiomyidae,4
Forficulidae,4
Sesiidae,4
Cicadellidae,3
Odonata,3
Cercopidae,3
Therevidae,3
Chalcididae,2
Chamaemyiidae,2
Dolichopodidae,2
Neuroptera,2
Carabidae,2
Meloidae,2
Orthoptera,2
Eristalinae,2
Oestridae,2
Mantispidae,2
Mycetophilidae,1
Pipunculidae,1
Coccinellidae,1
Sciomyzidae,1
Raphidiidae,1
Argidae,1
Sepsidae,1
Siricidae,1
Xylophagidae,1
Scutelleridae,1
Berytidae,1
Oecophoridae,1
Brachonidae,1
